Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Periodo;Total
Nacional;General;2024;100
Nacional;General;2023;100
Nacional;General;2022;100
Nacional;General;2021;100
Nacional;General;2020;100
Nacional;General;2019;100
Nacional;General;2018;100
Nacional;General;2017;100
Nacional;General;2016;100
Nacional;General;2015;100
Nacional;General;2014;100
Nacional;General;2013;100
Nacional;General;2012;100
Nacional;General;2011;100
Nacional;General;2010;100
Nacional;General;2009;100
Nacional;General;2008;100
Nacional;Vivienda nueva;2024;14,304
Nacional;Vivienda nueva;2023;15,157
Nacional;Vivienda nueva;2022;17,763
Nacional;Vivienda nueva;2021;17,359
Nacional;Vivienda nueva;2020;13,867
Nacional;Vivienda nueva;2019;12,703
Nacional;Vivienda nueva;2018;12,074
Nacional;Vivienda nueva;2017;12,172
Nacional;Vivienda nueva;2016;13,618
Nacional;Vivienda nueva;2015;14,484
Nacional;Vivienda nueva;2014;16,437
Nacional;Vivienda nueva;2013;28,6
Nacional;Vivienda nueva;2012;40,296
Nacional;Vivienda nueva;2011;49,084
Nacional;Vivienda nueva;2010;54,673
Nacional;Vivienda nueva;2009;54,346
Nacional;Vivienda nueva;2008;46,286
Nacional;Vivienda segunda mano;2024;85,696
Nacional;Vivienda segunda mano;2023;84,843
Nacional;Vivienda segunda mano;2022;82,237
Nacional;Vivienda segunda mano;2021;82,641
Nacional;Vivienda segunda mano;2020;86,133
Nacional;Vivienda segunda mano;2019;87,297
Nacional;Vivienda segunda mano;2018;87,926
Nacional;Vivienda segunda mano;2017;87,828
Nacional;Vivienda segunda mano;2016;86,382
Nacional;Vivienda segunda mano;2015;85,516
Nacional;Vivienda segunda mano;2014;83,563
Nacional;Vivienda segunda mano;2013;71,4
Nacional;Vivienda segunda mano;2012;59,704
Nacional;Vivienda segunda mano;2011;50,916
Nacional;Vivienda segunda mano;2010;45,327
Nacional;Vivienda segunda mano;2009;45,654
Nacional;Vivienda segunda mano;2008;53,714
01 Andalucía;General;2024;100
01 Andalucía;General;2023;100
01 Andalucía;General;2022;100
01 Andalucía;General;2021;100
01 Andalucía;General;2020;100
01 Andalucía;General;2019;100
01 Andalucía;General;2018;100
01 Andalucía;General;2017;100
01 Andalucía;General;2016;100
01 Andalucía;General;2015;100
01 Andalucía;General;2014;100
01 Andalucía;General;2013;100
01 Andalucía;General;2012;100
